Sl,Name,Packing,Expiry,Qty,BillPrice,TValue
197,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
198,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
199,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
200,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
201,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
202,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
203,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
204,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
205,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
206,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
207,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
208,ASCOTOR ELX 100 MLSYP,15s,Sep-25,18,118,3708.21
209,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
210,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
211,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
212,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
213,NUCACIUM SACHET,1 GM,Feb-25,800,5.32,4256
214,MEDICYES LEVETRON 500 TAB,10S,Aug-25,101,35.84,3619.84
215,FOAMING FACE WASH 150ML,150ML,Jun-25,15,165.2,2478
216,BABYLIVER DROP 30ML,30ML,Jul-25,108,20.16,2177.28
217,MOXIMIN D EYE DROPS,10ML,Aug-25,140,14.56,2038.4
218,EVEE 600 SG,10s,Jan-25,77,25.96,1998.92
219,NUTROVIT CAP,10S,Jun-25,80,24.5,1960
220,MEDICYES CALDIYES CCM TABLET,30S,Aug-25,26,61.36,1595.36
221,NUREX SF 100ML SYP,100ML,Mar-25,47,24.64,1158.08
222,GIOLIFE 12G,10S,Jun-25,20,53.1,1062
223,MINCOFOL 500 TAB,10s,Jul-25,70,15.12,1058.4
224,ROSID 10MG TAB,10S,Jun-25,60,16.8,1008
225,NUKIND ALOEVERA JUICE,500ML,Jan-25,9,91.72,825.48
226,ORTHOBST PAIN OIL 50ML,50ML,Aug-25,15,36.96,554.4
227,EVEE 600 SG,10s,Apr-25,20,25.96,519.2
228,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
229,PIKOLAX SYP,100ML,Nov-24,17.5,92,399.55
230,ELDERVIT GOLD SG,10S,Jan-25,9.5,210,399.02
231,ELDACTIN PLUS SYP,200ML,Jul-25,25.5,184,322.14
232,ITRA OC OINT,15GM,May-25,15,118,321.05
233,KETOSOL SHAMPOO,100ML,Aug-25,47,307,318.5
234,ZERODER TP4 TAB,10S,May-25,50,210,300.66
235,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
236,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
237,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
238,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
239,DICYNIL ING,2ML,Aug-25,6,24,55.25
240,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
241,COD CV SYP,30ML,Jul-25,44,165,14686.89
242,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
243,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
244,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
245,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
246,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
247,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
248,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
249,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
250,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
251,NFACE CREAM 30GM(SUPER SAVER,30GM,Jul-25,5,67.87,339.35
252,ELPIZYME DROP,30ML,Apr-25,18,17.92,322.56
253,PANTORE-D TAB,10S,May-25,20,12.32,246.4
254,HUNGERTIME SYP ORANGE,200ML,Jun-25,6,36.96,221.76
255,ALKAYES SYRUP 200ML,200ML,Apr-25,5,37.33,186.65
256,ELVEGRA-M TAB,10S,May-25,4,38.08,152.32
257,TRYPTOWIN-25MG TAB,10S,Apr-25,10,12.17,121.7
258,CLEANWAX EAR DROP,10ML,Nov-24,5,15.68,78.4
259,MEDICYES CEPODOXIME-200 TAB,10S,Jul-25,1,72.8,72.8
260,ALKAYES SYRUP 100ML,100ML,Aug-25,3,19.04,57.12
261,DROTIRON-M TAB,10S,May-25,3,16.8,50.4
262,VIZAGRA GO PRO TABLETS,4S,Aug-25,1,38.08,38.08
263,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
264,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
265,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
266,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
267,DICYNIL ING,2ML,Aug-25,6,24,55.25
268,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
269,COD CV SYP,30ML,Jul-25,44,165,14686.89
270,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
271,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
272,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
273,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
274,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
275,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
276,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
277,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
278,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
279,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
280,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
281,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
282,DOXICAP CAPS,10S,Nov-24,18,120,1311.71
283,DILTIAZEM 60 TABS,10S,May-25,8.9,60.08,1223.04
284,FERIC XT TAB 15S,15S,Nov-24,28,355,1054.87
285,CLOPIDER 75 TAB,10S,Jul-25,10.5,77.5,1028.52
286,THYRONEL 25 TAB,120T,Sep-25,62,143,849.3
287,RIMPACE 5 TAB,15s,Apr-25,10.7,146.1,839.82
288,CARVILOL 6.25 TAB,10S,Nov-24,7.7,48,833.9
289,ELVAS 2.5 TAB,10S,Nov-24,4,23,722.76
290,ALCO-QUIT 500 TABS,10S,Nov-24,27,125,637.56
291,BODYGROW SG,10S,Jan-25,8.5,160,609.38
292,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
293,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
294,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
295,DICYNIL ING,2ML,Aug-25,6,24,55.25
296,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
297,COD CV SYP,30ML,Jul-25,44,165,14686.89
298,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
299,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
300,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
301,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
302,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
303,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
304,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
305,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
306,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
307,NFACE CREAM 30GM(SUPER SAVER,30GM,Jul-25,5,67.87,339.35
308,ELPIZYME DROP,30ML,Apr-25,18,17.92,322.56
309,PANTORE-D TAB,10S,May-25,20,12.32,246.4
310,HUNGERTIME SYP ORANGE,200ML,Jun-25,6,36.96,221.76
311,ALKAYES SYRUP 200ML,200ML,Apr-25,5,37.33,186.65
312,ELVEGRA-M TAB,10S,May-25,4,38.08,152.32
313,TRYPTOWIN-25MG TAB,10S,Apr-25,10,12.17,121.7
314,CLEANWAX EAR DROP,10ML,Nov-24,5,15.68,78.4
315,MEDICYES CEPODOXIME-200 TAB,10S,Jul-25,1,72.8,72.8
316,ALKAYES SYRUP 100ML,100ML,Aug-25,3,19.04,57.12
317,DROTIRON-M TAB,10S,May-25,3,16.8,50.4
